Kata,Noun,Verb,Adjektiva,Adverb
aba-aba,"arahan,instruksi,isyarat,kode,komando,perintah,petunjuk,seruan,suruhan,tanda,titah",,,
abad,"era,kala,kurun,masa,periode,sepuluh,dasawarsa,sepuluh,dekade,seratus,tahun,zaman",,,
abadi,,,"awet,baka,daim,infinit,kekal,langgeng,langsung,lestari,qadim,samad,tetap,wujud",
abah,"arah,depan,hadap,haluan,jurus,tuju",,,
abai,,,"alpa,cabar,ceroboh,cuai,gegabah,kelipar,khilaf,lalai,leler,lengah,lupa,sembarangan,sembrono,serampangan,silap,taksir,teledor",
abakus,"dekak-dekak,sempoa,swipoa",,,
abang,"akang,kakak,kakanda,kakang,kanda,kangmas,mas,raka,uda",,,
abc,"abjad,aksara,alfabet,alif-ba-ta,fonem,huruf,leter,ki,dasar,pokok,halihwal,liku-liku,seluk-beluk",,,
abdi,,,,
aben,,"membakar,,memperabukan,mengkremasi",,
abjad,"abc,abece,aksara,alfabet,alif-bata,fonem,hiroglif,huruf,ideograf,kritogram,piktograf,tulisan",,,
abnormal,,,"ajaib,aneh,asing,cangga,cenanga,eksentrik,ganjil,garib,gila,invalid,istimewa,jarang,kurang,langka,miring,pelik,sedeng,sinting,taknormal",
abnormalitas,"keanehan,kecacatan,keganjilan,ketaknormalan",,,
abolisi,"pembatalan,penghapusan,peniadaan",,,
abonemen,,"berlangganan,melanggani,mengebon",,
aborsi,pengguguran,,,
abortus,"guguran,keguguran,kelulusan,keluron",,,
abrasi,"erosi,pengikisan",,,
abreviasi,"akronim,kependekatan,kontraksi,singkatan",,,
absah,,,"asli,autentik,benar,berlaku,betul,halal,legal,sah,sahih,sempurna,lulus,makbul,pasti",
absen,,,"bolos,mangkir",
absensi,ketidakhadiran,,,
abses,"barah,bengkak,nanah,bisul,infeksi,jerawat,ketimbis,luka,radang,timbil",,,
absolut,,,"adikara,despotis,diktatorial,otoriter,sewenang-wenang,tiranis,totaliter,habis-habisan,mutlak,sepenuh",
absorpsi,"pelesapan,penyerapan,perembesan,peresapan",,,
abstrak,,,"absurd,imajiner,khayali,maya,niskala,tanwujud,visioner,hipotetis,ideal,konseptual,teoretis,transendental",
abstrak,"ijmal,ikhtisar,inti,sari,inti,kerangka,kesimpulan,pati,pokok,rangkuman,resume,ringkasan,rumusan,sari,simpulan,sinopsis",,,
abu,"abuk,bubuk,debu,duli,lebu,serbuk,tepung",,,
abu-abu,abu-abu,,,
abuh,,,"bengkak,benjol,bincul",
abuhan,"busung,gembung,kembung",,,
abuk,"abu,bubuk,debu,duli,lebu,rejareja,kayu,serbuk,serdak,siring,tepung",,,
abuk,,"mengakui,menghaki,mengeklaim",,
acak,,,"arbitrer,awur,begitu,saja,manasuka,rambang,random,sebarang,sembarang,serampangan,sewenang-wenang",
acap,,,"kerap,rajin,selalu,sering,suka,bangat,cepat,lekas,segera",
acara,"agenda,daftar,jadwal,kalender,kegiatan,kesibukan,program,programa,rancangan,rencana,skedul,,urusan",,,
acau,,"berceloteh,bertura-tura,mencacau,menceracau,mengigau,mengoceh,menyanyah,menyelindur,meraban,meracau",,
aci,,,"benar,berlaku,jadi,legal,resmi,sah,sahih,sungguh,valid",
aci,"bubuk,kanji,pati,serbuk,tepung",,,
acu,,"melewa,membega,membidik,mengamang,mengarahkan,menggugat,menggugut,menodong,menunjuk,merujuk",,
acu,,"membentuk,mencanai,mencetak,menuang,menyelaraskan,menyesuaikan",,
acuh,,"hirau,hisab,indah,ingat,peduli",,
acuh,,,"apatis,beku,cuai,cuek,,dingin,,hambar,masa,bodoh,tebal",
acung,,"mengangkat,tangan,tunjuk,jari",,
ada,,"siap,sedia,terdapat,terpendam,tersedia,terselip,berdiri,datang,hadir,hidup,jadi,lahir,maujud,muncul,tampak,tampil,terlihat,tersua,wujud",,
adab,"adat,akhlak,budi,bahasa,budi",,,
adagium,"aforisme,pepatah,perbahasaan,peribahasa,pepatah,petitih",,,
adakala,,,,"kadang,kala,kadang-kadang,saat-saat,sekali-sekali,sesekali,terkadang,sewaktu-waktu,sporadis,suka-suka"
adalah,,,,
adang,,"memegat,menahan,mencegat,menegah,menghalangi,menyekat,merintang",,
adaptasi,"aklimatisasi,habituasi,orientasi,pembiasaan,penyesuaian,olahan,saduran",,,
adapun,,,,
adat,"budaya,etiket,istiadat,kebiasaan,kelaziman,kultur,rasam,tata,cara,tradisi,sunah,adab,etik,nilai,norma,aturan,etika,hukum,institusi,konvensi,lembaga,pranata",,,
adat,,,"marah,macet",
adegan,"bab,babak,bagian,episode,fragmen,potongan,putaran,segmen",,,
adem,,,"dingin,lindap,sejuk,teduh",
adi-,,,"besar,julung,pertama,rafi,tinggi,unggul,utama",
adi,,,"biasa,lazim,teradat,terpakai,umum",
adibintang,"bintang,lapangan,mahabintang,megabintang,superstar,diva,primadona,sripanggung",,,
adicita,"ajaran,aliran,fikrah,filsafat,haluan,,ideologi,paham,pandangan,pemikiran",,,
adidaya,,,adikuasa,
